link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11]
3097,802,3,1,1,3075,3079,3082,3083,3084,3085,3086,3088,3089,3090,3091,3092
3098,802,3,1,1,3074,3078,,,,,,,,,,
3101,825,808,2,32768,898,902,906,910,918,930,7378,7383,7384,,,
3104,868,851,2,32768,894,914,922,926,934,938,7886,7890,7891,,,
3106,895,894,2,32768,7879,,,,,,,,,,,
3108,899,898,2,32768,7371,,,,,,,,,,,
3110,903,902,2,32768,7375,,,,,,,,,,,
3112,907,906,2,32768,7374,,,,,,,,,,,
3114,911,910,2,32768,7371,,,,,,,,,,,
3116,915,914,2,32768,7882,,,,,,,,,,,
3118,919,918,2,32768,7372,,,,,,,,,,,
3120,923,922,2,32768,7882,,,,,,,,,,,
3122,927,926,2,32768,7879,,,,,,,,,,,
3124,931,930,2,32768,7375,,,,,,,,,,,
3126,935,934,2,32768,7881,,,,,,,,,,,
3128,939,938,2,32768,7878,,,,,,,,,,,
3167,794,3073,1,16,3076,,,,,,,,,,,
3169,795,3074,1,16,3073,,,,,,,,,,,
3170,795,3074,1,16,3073,,,,,,,,,,,
3172,796,3075,2,32768,3073,,,,,,,,,,,
3174,797,3076,1,1,3,,,,,,,,,,,
3179,798,3077,1,16,3080,,,,,,,,,,,
3181,799,3078,1,16,3077,,,,,,,,,,,
3182,799,3078,1,16,3077,,,,,,,,,,,
3184,800,3079,2,32768,3077,,,,,,,,,,,
3186,801,3080,1,1,3,,,,,,,,,,,
3200,810,3082,2,32768,8076,,,,,,,,,,,
3201,810,3082,2,32768,8076,,,,,,,,,,,
3203,813,3083,2,32768,8076,,,,,,,,,,,
3204,813,3083,2,32768,8076,,,,,,,,,,,
3206,816,3084,2,32768,8076,,,,,,,,,,,
3207,816,3084,2,32768,8076,,,,,,,,,,,
3209,819,3085,2,32768,8076,,,,,,,,,,,
3210,819,3085,2,32768,8076,,,,,,,,,,,
3212,822,3086,2,32768,8075,,,,,,,,,,,
