link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29]
5550,868,3,1,1,5495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5551,868,3,1,1,5492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5552,868,3,1,1,5488,5489,5493,5496,5518,5519,5522,5523,5524,5525,5526,5527,5529,5530,5531,5532,5533,5534,5536,5537,5538,5539,5540,5541,5543,5544,5545,5546,5547,5548
5553,868,3,1,1,5487,5517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5562,898,872,2,44032,12062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5563,876,872,2,32,5516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5564,898,872,2,5504,12217,12372,12531,12690,12845,,,,,,,,,,,,,,,,,,,,,,,,,
5565,873,872,2,8,5517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5569,976,975,2,32,5516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5570,979,975,2,512,5490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5590,1142,1122,1,5504,5504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5591,1142,1122,1,5504,5505,5506,5507,5508,5509,,,,,,,,,,,,,,,,,,,,,,,,,
5595,1206,1205,2,44032,11878,11885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5599,1219,1218,2,512,5490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5603,1253,1252,2,44032,11880,11881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5607,1266,1265,2,44032,11881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5611,1279,1278,2,44032,11881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5615,1292,1291,2,44032,11881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5619,1305,1304,2,44032,11879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5623,1318,1317,2,44032,11879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5626,827,5487,2,8,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5628,828,5488,1,1,5487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5630,829,5489,2,8,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5631,829,5489,2,8,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5634,832,5490,2,512,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5635,832,5490,2,512,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5636,832,5490,2,512,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5639,834,5491,2,262144,9215,9331,9447,9563,9679,9795,9911,10027,10393,10509,10625,10741,10857,10973,11089,11205,,,,,,,,,,,,,,
5641,835,5492,1,32768,5491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5642,835,5492,1,32768,5491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5644,836,5493,2,262144,9215,9331,9447,9563,9679,9795,9911,10027,10393,10509,10625,10741,10857,10973,11089,11205,,,,,,,,,,,,,,
5645,836,5493,2,262144,9215,9331,9447,9563,9679,9795,9911,10027,10393,10509,10625,10741,10857,10973,11089,11205,,,,,,,,,,,,,,
5648,837,5494,2,2048,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5650,838,5495,1,64,5494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5651,838,5495,1,64,5494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5653,839,5496,2,2048,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5654,839,5496,2,2048,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5685,850,5504,1,5504,12995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5688,851,5505,1,5504,13143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5691,852,5506,1,5504,13291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5694,853,5507,1,5504,13439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5697,854,5508,1,5504,13587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5700,855,5509,1,5504,13735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5733,863,5516,2,32,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5734,863,5516,2,32,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5735,863,5516,2,32,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5740,864,5517,1,1,5520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5742,865,5518,1,1,5517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5744,866,5519,2,8,5517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5746,867,5520,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5762,880,5522,2,44032,13888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5763,880,5522,2,44032,13888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5765,883,5523,2,44032,13888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5766,883,5523,2,44032,13888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5768,886,5524,2,44032,13887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5769,886,5524,2,44032,13888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5771,889,5525,2,44032,13887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5772,889,5525,2,44032,13888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5774,892,5526,2,44032,13888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5775,892,5526,2,44032,13887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5777,895,5527,2,44032,13887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5778,895,5527,2,44032,13888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5794,997,5529,2,44032,14045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5795,997,5529,2,44032,14046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5797,1000,5530,2,44032,14045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5798,1000,5530,2,44032,14046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5800,1003,5531,2,44032,14046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5801,1003,5531,2,44032,14046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5803,1006,5532,2,44032,14046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5804,1006,5532,2,44032,14046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5806,1009,5533,2,44032,14045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5807,1009,5533,2,44032,14046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5809,1012,5534,2,44032,14045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5810,1012,5534,2,44032,14046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5826,1062,5536,2,44032,14196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5827,1062,5536,2,44032,14196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5829,1065,5537,2,44032,14196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5830,1065,5537,2,44032,14196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5832,1068,5538,2,44032,14196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5833,1068,5538,2,44032,14196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5835,1071,5539,2,44032,14196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5836,1071,5539,2,44032,14196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5838,1074,5540,2,44032,14195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5839,1074,5540,2,44032,14195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5841,1077,5541,2,44032,14195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5842,1077,5541,2,44032,14195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5858,1124,5543,1,5504,14326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5859,1124,5543,1,5504,14326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,1127,5544,1,5504,14326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5862,1127,5544,1,5504,14326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5864,1130,5545,1,5504,14326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5865,1130,5545,1,5504,14326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5867,1133,5546,1,5504,14326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5868,1133,5546,1,5504,14326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5870,1136,5547,1,5504,14325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5871,1136,5547,1,5504,14325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5873,1139,5548,1,5504,14325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5874,1139,5548,1,5504,14325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9330,9217,9215,2,5504,12218,12373,12532,12691,12846,,,,,,,,,,,,,,,,,,,,,,,,,
9329,9217,9215,2,44032,12063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379,9217,9215,2,44032,12063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10380,9217,9215,2,5504,12218,12373,12532,12691,12846,,,,,,,,,,,,,,,,,,,,,,,,,
9446,9333,9331,2,5504,12218,12373,12532,12691,12846,,,,,,,,,,,,,,,,,,,,,,,,,
9445,9333,9331,2,44032,12063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10381,9333,9331,2,44032,12062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382,9333,9331,2,5504,12218,12373,12532,12691,12846,,,,,,,,,,,,,,,,,,,,,,,,,
