link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26]
5335,833,3,1,1,5307,,,,,,,,,,,,,,,,,,,,,,,,,,
5336,833,3,1,1,5290,,,,,,,,,,,,,,,,,,,,,,,,,,
5337,833,3,1,1,5293,,,,,,,,,,,,,,,,,,,,,,,,,,
5338,833,3,1,1,5282,,,,,,,,,,,,,,,,,,,,,,,,,,
5339,833,3,1,1,5283,5284,5286,5287,5291,5294,5308,5311,5312,5313,5314,5315,5317,5318,5319,5320,5321,5323,5324,5325,5326,5327,5329,5330,5331,5332,5333
5340,833,3,1,1,5285,,,,,,,,,,,,,,,,,,,,,,,,,,
5346,854,837,2,1664,10075,,,,,,,,,,,,,,,,,,,,,,,,,,
5347,854,837,2,208,10197,10317,10439,10559,,,,,,,,,,,,,,,,,,,,,,,
5353,911,894,2,208,10197,10317,10439,10559,,,,,,,,,,,,,,,,,,,,,,,
5354,911,894,2,1664,10075,,,,,,,,,,,,,,,,,,,,,,,,,,
5358,970,969,2,1024,5306,,,,,,,,,,,,,,,,,,,,,,,,,,
5359,973,969,2,4096,5288,,,,,,,,,,,,,,,,,,,,,,,,,,
5365,1006,989,2,208,10197,10317,10439,10559,,,,,,,,,,,,,,,,,,,,,,,
5366,1006,989,2,1664,10075,,,,,,,,,,,,,,,,,,,,,,,,,,
5377,1122,1121,2,212992,9930,,,,,,,,,,,,,,,,,,,,,,,,,,
5381,1135,1134,2,4096,5288,,,,,,,,,,,,,,,,,,,,,,,,,,
5385,1145,1144,2,212992,5301,,,,,,,,,,,,,,,,,,,,,,,,,,
5389,1158,1157,2,212992,5301,,,,,,,,,,,,,,,,,,,,,,,,,,
5393,1168,1167,2,212992,5302,,,,,,,,,,,,,,,,,,,,,,,,,,
5397,1181,1180,2,212992,5302,,,,,,,,,,,,,,,,,,,,,,,,,,
5401,1191,1190,2,212992,5303,,,,,,,,,,,,,,,,,,,,,,,,,,
5405,1204,1203,2,212992,5303,,,,,,,,,,,,,,,,,,,,,,,,,,
5409,1214,1213,2,212992,5304,,,,,,,,,,,,,,,,,,,,,,,,,,
5413,1227,1226,2,212992,5304,,,,,,,,,,,,,,,,,,,,,,,,,,
5417,1237,1236,2,212992,5305,,,,,,,,,,,,,,,,,,,,,,,,,,
5421,1250,1249,2,212992,5305,,,,,,,,,,,,,,,,,,,,,,,,,,
5425,1260,1259,2,212992,9932,9933,,,,,,,,,,,,,,,,,,,,,,,,,
5429,1273,1272,2,212992,9933,,,,,,,,,,,,,,,,,,,,,,,,,,
5433,1286,1285,2,212992,9934,9935,,,,,,,,,,,,,,,,,,,,,,,,,
5437,1299,1298,2,212992,9935,,,,,,,,,,,,,,,,,,,,,,,,,,
5441,1312,1311,2,212992,9931,,,,,,,,,,,,,,,,,,,,,,,,,,
5444,795,5282,2,8,837,,,,,,,,,,,,,,,,,,,,,,,,,,
5446,796,5283,1,1,5282,,,,,,,,,,,,,,,,,,,,,,,,,,
5448,797,5284,2,8,837,,,,,,,,,,,,,,,,,,,,,,,,,,
5449,797,5284,2,8,837,,,,,,,,,,,,,,,,,,,,,,,,,,
5452,798,5285,2,8,894,,,,,,,,,,,,,,,,,,,,,,,,,,
5454,799,5286,1,1,5285,,,,,,,,,,,,,,,,,,,,,,,,,,
5456,800,5287,2,8,894,,,,,,,,,,,,,,,,,,,,,,,,,,
5457,800,5287,2,8,894,,,,,,,,,,,,,,,,,,,,,,,,,,
5460,802,5288,2,4096,969,,,,,,,,,,,,,,,,,,,,,,,,,,
5461,802,5288,2,4096,969,,,,,,,,,,,,,,,,,,,,,,,,,,
5462,802,5288,2,4096,969,,,,,,,,,,,,,,,,,,,,,,,,,,
5465,804,5289,2,64,989,,,,,,,,,,,,,,,,,,,,,,,,,,
5467,805,5290,1,4,5289,,,,,,,,,,,,,,,,,,,,,,,,,,
5468,805,5290,1,4,5289,,,,,,,,,,,,,,,,,,,,,,,,,,
5470,806,5291,2,64,989,,,,,,,,,,,,,,,,,,,,,,,,,,
5471,806,5291,2,64,989,,,,,,,,,,,,,,,,,,,,,,,,,,
